year,entity,type_of_crime,count
2015,México,Other crimes against life and bodily integrity,318
2015,México,Other crimes against personal freedom,1048
2015,México,Other crimes against sexual freedom and security,676
2015,México,Other crimes against society,596
2015,México,Other crimes against the family,43
2015,México,Prisoner escape,9
2015,México,Property damage,12471
2015,México,Robbery,168652
2015,México,Sexual abuse,532
2015,México,Sexual harassment,225
2015,México,Simple rape,964
2015,México,Threats,0
2015,Nayarit,Abduction,0
2015,Nayarit,Abortion,0
2015,Nayarit,Aggravated rape,7
2015,Nayarit,Burglary,24
2015,Nayarit,Child trafficking,0
2015,Nayarit,Corruption of minors,54
2015,Nayarit,Counterfeiting,44
2015,Nayarit,Crimes committed by public officials,90
2015,Nayarit,Dispossession,185
2015,Nayarit,Domestic violence,298
2015,Nayarit,Drug trafficking (small-scale),538
2015,Nayarit,Electoral crimes,0
2015,Nayarit,Embezzlement,161
2015,Nayarit,Environmental crimes,1
2015,Nayarit,Extortion,1
2015,Nayarit,Feminicide,0
2015,Nayarit,Forgery,21
2015,Nayarit,Fraud,541
2015,Nayarit,Gender-based violence in all its forms other than domestic violence,0
2015,Nayarit,Homicide,147
2015,Nayarit,Human trafficking,0
2015,Nayarit,Incest,0
2015,Nayarit,Injuries,703
2015,Nayarit,Kidnapping,12
2015,Nayarit,Non-compliance with family support obligations,659
2015,Nayarit,Other common law crimes,968
2015,Nayarit,Other crimes against heritage or property,8
2015,Nayarit,Other crimes against life and bodily integrity,4
2015,Nayarit,Other crimes against personal freedom,21
2015,Nayarit,Other crimes against sexual freedom and security,121
2015,Nayarit,Other crimes against society,12
2015,Nayarit,Other crimes against the family,8
2015,Nayarit,Prisoner escape,0
2015,Nayarit,Property damage,234
2015,Nayarit,Robbery,1468
2015,Nayarit,Sexual abuse,0
2015,Nayarit,Sexual harassment,7
2015,Nayarit,Simple rape,121
2015,Nayarit,Threats,193
2015,Nuevo León,Abduction,154
2015,Nuevo León,Abortion,58
